country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Albania,AL,null,Falsch,,,,,,,,,
Austria,AT,0.0765,Falsch,"Index Score: 35,9",,,,,,,,
Belgium,BE,0.0330,Falsch,"Index Score: 16,7",,,,,,,,
Bulgaria,BG,0.0502,Falsch,"Index Score: 35,9",,,,,,,,
Bosnia and Herzegovina,BA,null,Falsch,,,,,,,,,
Switzerland,CH,0.04,Falsch,,,,,,,,,
Cyprus,CY,0.0179,Falsch,"Index Score: 35,9",,,,,,,,
Czechia,CZ,0.0200,Falsch,"Index Score: 35,9",,,,,,,,
Germany,DE,0.0883,Falsch,"Index Score: 35,9",,,,,,,,
Denmark,DK,0.0782,Falsch,"Index Score: 35,9",,,,,,,,
Estonia,EE,0.0396,Falsch,"Index Score: 35,9",,,,,,,,
Georgia,GE,null,Falsch,,,,,,,,,
Greece,EL,0.0033,Falsch,"Index Score: 35,9",,,,,,,,
Spain,ES,0.0340,Falsch,"Index Score: 35,9",,,,,,,,
Finland,FI,0.0350,Falsch,"Index Score: 35,9",,,,,,,,
France,FR,0.049,Falsch,"Index Score: 35,9",,,,,,,,
Croatia,HR,0.0066,Falsch,"Index Score: 35,9",,,,,,,,
Hungary,HU,0.0302,Falsch,"Index Score: 35,9",,,,,,,,
Ireland,IE,0.0375,Falsch,"Index Score: 35,9",,,,,,,,
Iceland,IS,0.079,Falsch,,,,,,,,,
Italy,IT,0.0125,Falsch,"Index Score: 35,9",,,,,,,,
Liechtenstein,LI,null,Falsch,,,,,,,,,
Lithuania,LT,0.0284,Falsch,"Index Score: 35,9",,,,,,,,
Luxembourg,LU,0.0333,Falsch,"Index Score: 35,9",,,,,,,,
Latvia,LV,0.0600,Falsch,"Index Score: 35,9",,,,,,,,
Montenegro,ME,null,Falsch,,,,,,,,,
North Macedonia,MK,null,Falsch,,,,,,,,,
Malta,MT,0.1000,Falsch,"Index Score: 35,9",,,,,,,,
Moldova,MD,null,Falsch,,,,,,,,,
Netherlands,NL,0.053,Falsch,"Index Score: 35,9",,,,,,,,
Norway,NO,0.136,Falsch,,,,,,,,,
Poland,PL,0.043,Falsch,"Index Score: 35,9",,,,,,,,
Portugal,PT,0.0565,Falsch,"Index Score: 35,9",,,,,,,,
Romania,RO,0.0426,Falsch,"Index Score: 35,9",,,,,,,,
Serbia,RS,null,Falsch,,,,,,,,,
Sweden,SE,0.0659,Falsch,"Index Score: 35,9",,,,,,,,
Slovenia,SI,0.0556,Falsch,"Index Score: 35,9",,,,,,,,
Slovakia,SK,0.054,Falsch,"Index Score: 35,9",,,,,,,,
Turkey,TR,null,Falsch,,,,,,,,,
United Kingdom,UK,0.037,Falsch,,,,,,,,,
Ukraine,UA,null,Falsch,,,,,,,,,
